,,,,,,"ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)",CV,CV
,,,,,,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,WCV,pval
parc,measure,connections,metric,stat,map,,,,,,,,,,,,,,,,,,,,,,,,,,
Schaefer100,pearson,all,inverted,auc,mGluR5,0.6831130315999049,5.394799392530482,111,111,2.1287940281817053e-17,[0.57 0.77],0.8117256759049188,5.394799392530482,111,111,2.1287940281817053e-17,[0.73 0.87],0.6872458575735584,5.394799392530482,111,111,2.1287940281817053e-17,[0.58 0.77],0.8146362955804106,5.394799392530482,111,111,2.1287940281817053e-17,[0.73 0.87],0.20239842978257233,0.001
Schaefer100,pearson,all,inverted,auc,MOR,0.5893233537908634,3.9801824693299075,111,111,1.2833775247937642e-12,[0.45 0.7 ],0.7416028366854435,3.9801824693299075,111,111,1.2833775247937642e-12,[0.62 0.82],0.5984082887892452,3.9801824693299075,111,111,1.2833775247937642e-12,[0.47 0.71],0.748755237302385,3.9801824693299075,111,111,1.2833775247937642e-12,[0.63 0.83],0.1318038769736364,0.001
Schaefer100,pearson,all,inverted,auc,NET,0.5577660876042831,3.622580962693586,111,111,2.840018011809682e-11,[0.42 0.67],0.7161101940049057,3.622580962693586,111,111,2.840018011809682e-11,[0.59 0.8 ],0.5673412718693419,3.622580962693586,111,111,2.840018011809682e-11,[0.43 0.68],0.723953719655048,3.622580962693586,111,111,2.840018011809682e-11,[0.6  0.81],7.221877818560655,0.17900000000000005
Schaefer100,pearson,all,inverted,auc,NMDA,0.5983288847567031,4.008629338928102,111,111,1.0089300943551584e-12,[0.47 0.7 ],0.7486930762035006,4.008629338928102,111,111,1.0089300943551584e-12,[0.64 0.83],0.6006891577191416,4.008629338928102,111,111,1.0089300943551584e-12,[0.47 0.71],0.7505381726644256,4.008629338928102,111,111,1.0089300943551584e-12,[0.64 0.83],0.1975758065148934,0.001
Schaefer100,pearson,all,inverted,auc,SV2A,0.5286127724681399,3.338718019521396,111,111,3.652654740901383e-10,[0.38 0.65],0.6916241732229246,3.338718019521396,111,111,3.652654740901383e-10,[0.55 0.79],0.5390343435546383,3.338718019521396,111,111,3.652654740901383e-10,[0.39 0.66],0.7004838401586997,3.338718019521396,111,111,3.652654740901383e-10,[0.56 0.79],0.22289539676001915,0.001
Schaefer100,pearson,all,inverted,auc,VAChT,0.5980358425798142,3.9499473311890325,111,111,1.6588881336632566e-12,[0.46 0.71],0.7484636159529009,3.9499473311890325,111,111,1.6588881336632566e-12,[0.63 0.83],0.5959552968577592,3.9499473311890325,111,111,1.6588881336632566e-12,[0.46 0.7 ],0.7468320673281041,3.9499473311890325,111,111,1.6588881336632566e-12,[0.63 0.83],0.245657393701721,0.001
Schaefer100,pearson,all,inverted,auc,VMAT2,0.5586359729737744,3.71514594615907,111,111,1.2576737126217608e-11,[0.41 0.68],0.716826741664295,3.71514594615907,111,111,1.2576737126217608e-11,[0.58 0.81],0.5758349746036624,3.71514594615907,111,111,1.2576737126217608e-11,[0.44 0.69],0.7308315704168077,3.71514594615907,111,111,1.2576737126217608e-11,[0.61 0.81],0.17625932599910515,0.001
Schaefer100,pearson,all,delta,auc,5HT1a,0.5989747357187758,4.06404476635177,111,111,6.329217647677286e-13,[0.47 0.71],0.7491984986861258,4.06404476635177,111,111,6.329217647677286e-13,[0.64 0.83],0.605058783585589,4.06404476635177,111,111,6.329217647677286e-13,[0.47 0.71],0.7539397183122851,4.06404476635177,111,111,6.329217647677286e-13,[0.64 0.83],0.48622742883265013,0.001
Schaefer100,pearson,all,delta,auc,5HT1b,0.6488243356678728,4.67410064922362,111,111,4.579788498327373e-15,[0.53 0.74],0.7870145068001558,4.67410064922362,111,111,4.579788498327373e-15,[0.69 0.85],0.6475212331184753,4.67410064922362,111,111,4.579788498327373e-15,[0.53 0.74],0.7860550991416706,4.67410064922362,111,111,4.579788498327373e-15,[0.69 0.85],1.6156015660284622,0.389
Schaefer100,pearson,all,delta,auc,5HT2a,0.5954367315321986,4.0467920994022,111,111,7.315611987017656e-13,[0.46 0.7 ],0.7464247497428032,4.0467920994022,111,111,7.315611987017656e-13,[0.63 0.83],0.6037086607477048,4.0467920994022,111,111,7.315611987017656e-13,[0.47 0.71],0.7528906908393633,4.0467920994022,111,111,7.315611987017656e-13,[0.64 0.83],0.8461906540254641,0.562
