metric,map,fqband,rho,p
inverted,5HT1a,hgamma,-0.3054187192118226,0.10714731818309525
inverted,5HT1b,delta,-0.2374384236453201,0.21489031338654074
inverted,5HT1b,theta,-0.11034482758620688,0.5687919814816487
inverted,5HT1b,alpha,-0.04827586206896551,0.8036061885881776
inverted,5HT1b,beta,-0.24088669950738908,0.2081067505065501
inverted,5HT1b,lgamma,-0.017241379310344827,0.9292647452546765
inverted,5HT1b,hgamma,-0.008866995073891625,0.9635887302144255
inverted,5HT2a,delta,0.14778325123152705,0.44424430383736335
inverted,5HT2a,theta,0.06305418719211821,0.7452230528157772
inverted,5HT2a,alpha,-0.23251231527093594,0.22483934932841254
inverted,5HT2a,beta,0.19556650246305415,0.3092997622069159
inverted,5HT2a,lgamma,-0.05467980295566501,0.7781597772035429
inverted,5HT2a,hgamma,-0.1689655172413793,0.3809174876263445
inverted,5HT4,delta,0.2660098522167487,0.16308409315220374
inverted,5HT4,theta,-0.01773399014778325,0.9272489564870263
inverted,5HT4,alpha,-0.3118226600985221,0.09961887650569692
inverted,5HT4,beta,0.22463054187192114,0.24139457634527825
inverted,5HT4,lgamma,-0.23300492610837434,0.22383072036314547
inverted,5HT4,hgamma,-0.27241379310344827,0.1528125630109759
inverted,5HT6,delta,0.12266009852216746,0.526152599437852
inverted,5HT6,theta,-0.10640394088669947,0.5827573729374917
inverted,5HT6,alpha,-0.34285714285714275,0.06864282672986498
inverted,5HT6,beta,0.2645320197044334,0.16552253284806515
inverted,5HT6,lgamma,-0.112807881773399,0.5601409833569135
inverted,5HT6,hgamma,-0.2009852216748768,0.29581728856900874
inverted,5HTT,delta,-0.06305418719211821,0.7452230528157772
inverted,5HTT,theta,-0.3724137931034482,0.046644523883471616
inverted,5HTT,alpha,-0.16206896551724134,0.40093576507361994
inverted,5HTT,beta,0.3142857142857142,0.0968318296897271
inverted,5HTT,lgamma,0.05566502463054186,0.7742640809900436
inverted,5HTT,hgamma,-0.07635467980295566,0.6938237420680635
inverted,MOR,delta,0.05763546798029554,0.7664888388040039
inverted,MOR,theta,-0.1408866995073891,0.4660181072637315
inverted,MOR,alpha,0.08965517241379309,0.6437200702998869
inverted,MOR,beta,0.07733990147783248,0.6900655320419373
inverted,MOR,lgamma,-0.29211822660098513,0.12412952629052428
