A,B,sub,rho,p
meg-alpha_original,meg-alpha_inverted,sub-189349,-0.5969230769230769,0.0016323865683266169
meg-alpha_original,meg-alpha_inverted,sub-195041,-0.8207692307692308,5.026212792756227e-07
meg-alpha_original,meg-alpha_inverted,sub-198653,-0.7923076923076923,2.3563996665439814e-06
meg-alpha_original,meg-alpha_inverted,sub-212318,-0.6807692307692308,0.00018012993001756083
meg-alpha_original,meg-alpha_inverted,sub-212823,-0.8623076923076922,3.0056264830632026e-08
meg-alpha_original,meg-alpha_inverted,sub-255639,-0.7853846153846153,3.3117206719816817e-06
meg-alpha_original,meg-alpha_inverted,sub-257845,-0.8992307692307692,1.0008637664511105e-09
meg-alpha_original,meg-alpha_inverted,sub-287248,-0.4646153846153846,0.019287095935427063
meg-alpha_original,meg-alpha_inverted,sub-353740,-0.913076923076923,1.960749903419254e-10
meg-alpha_original,meg-alpha_inverted,sub-406836,-0.7569230769230769,1.1908333597555597e-05
meg-alpha_original,meg-alpha_inverted,sub-512835,-0.8015384615384615,1.4668761990802731e-06
meg-alpha_original,meg-alpha_inverted,sub-568963,-0.5930769230769232,0.0017804536071811608
meg-alpha_original,meg-alpha_inverted,sub-599671,-0.7053846153846153,8.206806844597019e-05
