parc,metric,map,effect,converged,df_model,df_resid,beta,chi2,p,pmeff
Schaefer200Subcortical,original,CMRglu,treat,True,7,98,0.40639463809087745,0.16402384418516983,0.6854785598273162,0.9999971073760824
Schaefer200Subcortical,original,CMRglu,session,True,7,98,0.40639463809087745,1.318311385857972,0.25089532909636875,0.9586233169689373
Schaefer200Subcortical,original,CMRglu,treat*session,True,7,98,0.40639463809087745,1.407674168657927,0.23544287847458642,0.9481767730163869
Schaefer200Subcortical,original,SV2A,treat,True,7,98,-0.2900352644187802,0.0010528188812171308,0.9741154455585056,1.0
Schaefer200Subcortical,original,SV2A,session,True,7,98,-0.2900352644187802,0.2618775437570658,0.6088331815107442,0.999967970806972
Schaefer200Subcortical,original,SV2A,treat*session,True,7,98,-0.2900352644187802,0.5930655189650326,0.4412361438541965,0.9983667973945778
Schaefer200Subcortical,original,HDAC,treat,True,7,98,-0.3246437078244385,1.4448589934881493,0.22935466527575424,0.9434407798878078
Schaefer200Subcortical,original,HDAC,session,True,7,98,-0.3246437078244385,0.3803584060223167,0.5374114859230534,0.9997964965256442
Schaefer200Subcortical,original,HDAC,treat*session,True,7,98,-0.3246437078244385,0.8837903412012306,0.3471656329082886,0.9909198755290941
Schaefer200Subcortical,original,VMAT2,treat,True,7,98,-0.29891295964900505,0.23701778600312495,0.6263683728682847,0.9999806832563155
Schaefer200Subcortical,original,VMAT2,session,True,7,98,-0.29891295964900505,0.04085656240745593,0.8398150459527827,0.9999999982998934
Schaefer200Subcortical,original,VMAT2,treat*session,True,7,98,-0.29891295964900505,0.9569566728255121,0.32795483478246196,0.9874984392143102
Schaefer200Subcortical,original,mGluR5,treat,True,7,98,0.07120844385541748,1.1453635117256478,0.2845218364901173,0.9750633741976025
Schaefer200Subcortical,original,mGluR5,session,True,7,98,0.07120844385541748,4.466610558054526,0.034563491047473666,0.32146882635207963
Schaefer200Subcortical,original,mGluR5,treat*session,True,7,98,0.07120844385541748,0.057882319064706214,0.8098748812463341,0.9999999887545482
Schaefer200Subcortical,original,NMDA,treat,True,7,98,-0.21579848858955636,0.02158958005812041,0.8831841695670336,0.9999999999476826
Schaefer200Subcortical,original,NMDA,session,True,7,98,-0.21579848858955636,0.02347710286775786,0.878222896157666,0.9999999999172418
Schaefer200Subcortical,original,NMDA,treat*session,True,7,98,-0.21579848858955636,0.38372966595665214,0.5356139103334209,0.9997876056897617
Schaefer200Subcortical,original,GABAa,treat,True,7,98,-0.29251440968567466,0.013497502298883867,0.9075108765549069,0.9999999999960141
Schaefer200Subcortical,original,GABAa,session,True,7,98,-0.29251440968567466,0.2971928413044138,0.58564763255113,0.9999395672696885
Schaefer200Subcortical,original,GABAa,treat*session,True,7,98,-0.29251440968567466,0.9166550185363895,0.3383547906659844,0.9894734839926602
Schaefer200Subcortical,original,GABAa5,treat,True,7,98,0.020882524098382038,0.07738806390304233,0.7808687351047805,0.9999999461892638
Schaefer200Subcortical,original,GABAa5,session,True,7,98,0.020882524098382038,1.589722630810387,0.20736576661100664,0.9228710880032369
Schaefer200Subcortical,original,GABAa5,treat*session,True,7,98,0.020882524098382038,0.0041316548426648695,0.9487489105752063,0.9999999999999941
Schaefer200Subcortical,original,NET,treat,True,7,98,0.46173596423050733,0.15058023384160626,0.6979814816625962,0.9999981504867408
Schaefer200Subcortical,original,NET,session,True,7,98,0.46173596423050733,0.13896914573578031,0.7093079790200175,0.9999987865346507
Schaefer200Subcortical,original,NET,treat*session,True,7,98,0.46173596423050733,2.1342124612715363,0.14404442243067558,0.8200158971185412
Schaefer200Subcortical,original,A4B2,treat,True,7,98,0.41549379901453803,0.5798075253953963,0.4463877747184264,0.9985253528814539
Schaefer200Subcortical,original,A4B2,session,True,7,98,0.41549379901453803,0.377432236123958,0.538980673864745,0.9998039796327787
Schaefer200Subcortical,original,A4B2,treat*session,True,7,98,0.41549379901453803,1.913328143906385,0.166594031245768,0.8659099685537397
Schaefer200Subcortical,original,M1,treat,True,7,98,-0.46851631174468733,0.00977763761539169,0.9212320101923503,0.9999999999993214
Schaefer200Subcortical,original,M1,session,True,7,98,-0.46851631174468733,0.2180314530180132,0.6405439633120005,0.9999873896389072
Schaefer200Subcortical,original,M1,treat*session,True,7,98,-0.46851631174468733,1.5254326462162124,0.21679921948213868,0.932409254823885
Schaefer200Subcortical,original,VAChT,treat,True,7,98,0.01619173227826301,0.0002736322127287744,0.9868021293720077,1.0
Schaefer200Subcortical,original,VAChT,session,True,7,98,0.01619173227826301,0.8709236330455062,0.3506997348506209,0.9914473690305013
Schaefer200Subcortical,original,VAChT,treat*session,True,7,98,0.01619173227826301,0.003720023266167509,0.9513655854793518,0.9999999999999967
Schaefer200Subcortical,original,FDOPA,treat,True,7,98,-0.32489732497426116,0.0567684978741723,0.8116783525395906,0.9999999898763028
Schaefer200Subcortical,original,FDOPA,session,True,7,98,-0.32489732497426116,0.09117263478378768,0.7626916531292512,0.9999998704461527
Schaefer200Subcortical,original,FDOPA,treat*session,True,7,98,-0.32489732497426116,1.2380663708173203,0.26584403698706144,0.9668689168275397
Schaefer200Subcortical,original,D1,treat,True,7,98,-0.051435782256620155,0.10777763216131384,0.7426885953572671,0.9999996838040242
Schaefer200Subcortical,original,D1,session,True,7,98,-0.051435782256620155,0.21380308194405978,0.6438027780182061,0.9999885943911322
Schaefer200Subcortical,original,D1,treat*session,True,7,98,-0.051435782256620155,0.025832522463065243,0.8723100060135872,0.999999999860414
Schaefer200Subcortical,original,D23,treat,True,7,98,-0.525094531096822,1.1568206440025397,0.28212588808351946,0.974127055784421
Schaefer200Subcortical,original,D23,session,True,7,98,-0.525094531096822,2.1078858769315114,0.1465416459824114,0.8257214869696508
Schaefer200Subcortical,original,D23,treat*session,True,7,98,-0.525094531096822,3.5113009261012493,0.060951577052484045,0.5001166869580899
Schaefer200Subcortical,original,DAT,treat,True,7,98,-0.24245570919303291,0.12775494064176435,0.7207712450788939,0.9999992212871135
Schaefer200Subcortical,original,DAT,session,True,7,98,-0.24245570919303291,0.18047193430271047,0.6709679810049674,0.9999952437965406
Schaefer200Subcortical,original,DAT,treat*session,True,7,98,-0.24245570919303291,0.7340825898741382,0.3915630545848613,0.995823168310673
Schaefer200Subcortical,original,5HT1a,treat,True,7,98,0.07399525062052693,0.42779032638745673,0.5130751980312707,0.999641838040429
Schaefer200Subcortical,original,5HT1a,session,True,7,98,0.07399525062052693,7.66121589913779,0.005642046865452919,0.06047712257403659
Schaefer200Subcortical,original,5HT1a,treat*session,True,7,98,0.07399525062052693,0.06395053573236059,0.8003575203474236,0.9999999807306071
Schaefer200Subcortical,original,5HT1b,treat,True,7,98,0.5402922865991303,0.08307649569921897,0.7731707354597355,0.9999999212600837
Schaefer200Subcortical,original,5HT1b,session,True,7,98,0.5402922865991303,2.7642841118497907,0.09638979922934943,0.672911382197279
Schaefer200Subcortical,original,5HT1b,treat*session,True,7,98,0.5402922865991303,2.469039707677599,0.11610884279881911,0.743543083879105
Schaefer200Subcortical,original,5HT2a,treat,True,7,98,-0.0881700394674321,0.4500867738860167,0.5022937497093638,0.9995440196371322
