parc,metric,map,effect,converged,df_model,df_resid,beta,chi2,p,pmeff
Schaefer200Subcortical,original,A4B2,treat,True,9,152,,9.838064615292737,0.007306197578556867,0.08057331136377166
Schaefer200Subcortical,original,A4B2,session,True,9,152,,1.201413888348587,0.2730392706057888,0.9740875200999027
Schaefer200Subcortical,original,A4B2,treat*session,True,9,152,,4.210785238782777,0.12179784468463108,0.774142417694278
Schaefer200Subcortical,original,M1,treat,True,9,152,,4.3568752578713665,0.11321828149624578,0.7475337278167951
Schaefer200Subcortical,original,M1,session,True,9,152,,0.3277930532137715,0.5669615171340578,0.9999314273020145
Schaefer200Subcortical,original,M1,treat*session,True,9,152,,1.6861670342486295,0.4303813868980937,0.9984149534055367
Schaefer200Subcortical,original,VAChT,treat,True,9,152,,0.5636387418783034,0.7544099405858796,0.9999998966218437
Schaefer200Subcortical,original,VAChT,session,True,9,152,,0.8680705289435156,0.35149002213692826,0.992995599576466
Schaefer200Subcortical,original,VAChT,treat*session,True,9,152,,6.868800409574195,0.03224474467648173,0.31303585464961625
Schaefer200Subcortical,original,FDOPA,treat,True,9,152,,0.3517637976951255,0.8387170309360634,0.9999999991637037
Schaefer200Subcortical,original,FDOPA,session,True,9,152,,0.01011022442702224,0.919907997874406,0.9999999999997247
Schaefer200Subcortical,original,FDOPA,treat*session,True,9,152,,1.4679662174175216,0.4799933119048859,0.9994419419871021
Schaefer200Subcortical,original,D1,treat,True,9,152,,0.641251186910554,0.7256949050543625,0.9999996330832007
Schaefer200Subcortical,original,D1,session,True,9,152,,0.0027310693949631603,0.9583218163678542,0.9999999999999999
Schaefer200Subcortical,original,D1,treat*session,True,9,152,,1.0426070836968748,0.5937460704477573,0.9999670013122902
Schaefer200Subcortical,original,D23,treat,True,9,152,,2.6607258294070366,0.2643812960276094,0.9703235387091286
Schaefer200Subcortical,original,D23,session,True,9,152,,1.115174040374937,0.29095998610255286,0.9805317608575982
Schaefer200Subcortical,original,D23,treat*session,True,9,152,,5.0166322441464715,0.08140520031559954,0.6219416209130759
Schaefer200Subcortical,original,DAT,treat,True,9,152,,0.4034821698956311,0.8173065135083064,0.9999999965125328
Schaefer200Subcortical,original,DAT,session,True,9,152,,0.03867299205722755,0.844097919061034,0.9999999994330537
Schaefer200Subcortical,original,DAT,treat*session,True,9,152,,4.955957972102358,0.08391264295900236,0.6335962842435492
Schaefer200Subcortical,original,5HT1a,treat,True,9,152,,0.538971077007717,0.763772324733026,0.9999999337697755
Schaefer200Subcortical,original,5HT1a,session,True,9,152,,3.2003484020319393,0.07362258474415363,0.5835792784091136
Schaefer200Subcortical,original,5HT1a,treat*session,True,9,152,,7.179550009306113,0.02760454061778416,0.27434200115486485
Schaefer200Subcortical,original,5HT1b,treat,True,9,152,,1.540581385742581,0.4628784932739055,0.9991912988087989
Schaefer200Subcortical,original,5HT1b,session,True,9,152,,0.6999293528101391,0.4028074337426354,0.9972758539619841
Schaefer200Subcortical,original,5HT1b,treat*session,True,9,152,,2.2168522961026236,0.3300780464629109,0.9898379107768634
Schaefer200Subcortical,original,5HT2a,treat,True,9,152,,0.4274398636775894,0.80757452926675,0.9999999936800137
Schaefer200Subcortical,original,5HT2a,session,True,9,152,,0.18420609966131274,0.6677832273863913,0.9999967073776411
Schaefer200Subcortical,original,5HT2a,treat*session,True,9,152,,0.23045204261111826,0.8911646989335398,0.9999999999907635
Schaefer200Subcortical,original,5HT4,treat,True,9,152,,1.0445746727615246,0.5931622335449267,0.9999664539457749
Schaefer200Subcortical,original,5HT4,session,True,9,152,,0.5789200627882488,0.44673593341810414,0.9988647077238896
Schaefer200Subcortical,original,5HT4,treat*session,True,9,152,,2.0297357018006377,0.3624503241518408,0.9942380629042014
Schaefer200Subcortical,original,5HT6,treat,True,9,152,,3.627917685709795,0.16300753653146344,0.8697672821563827
Schaefer200Subcortical,original,5HT6,session,True,9,152,,0.7000545085895792,0.402765379177887,0.9972736555392269
Schaefer200Subcortical,original,5HT6,treat*session,True,9,152,,1.519895524578988,0.4676908574714269,0.9992705221929876
Schaefer200Subcortical,original,5HTT,treat,True,9,152,,0.584681931121403,0.746513957024568,0.9999998514516831
Schaefer200Subcortical,original,5HTT,session,True,9,152,,0.3936417492335058,0.530391328527543,0.9998264188588843
Schaefer200Subcortical,original,5HTT,treat*session,True,9,152,,9.289458916709169,0.009612129789341263,0.10474478552114685
Schaefer200Subcortical,original,MOR,treat,True,9,152,,2.226681727934621,0.3284597865356929,0.9895531233570098
Schaefer200Subcortical,original,MOR,session,True,9,152,,0.5972761905352927,0.43961917398993533,0.9986856952051292
Schaefer200Subcortical,original,MOR,treat*session,True,9,152,,2.31862435002378,0.31370187868390836,0.9865989936640271
