parc	metric	sample	between	dv	n	df_model	df_resid	F	p	pmeff	beta	np2	posthoc	covariates
Schaefer200	original	all	dx_apd_lifetime	NMDA	151	2.0	144.0	2.996495660736204	0.05308720388801968	0.43420657989550016	-0.6086137576955889	0.03995514236147163		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	GABAa	151	2.0	144.0	1.132932372885885	0.32494110015153155	0.9834729714322635	-0.32229454511534844	0.015491411818541013		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	GABAa5	151	2.0	144.0	7.129255006958423	0.0011160154457429345	0.011590874927113859	-0.7840814458699543	0.0900963241260327	CTRL > PSY_APD, CTRL > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	NET	151	2.0	144.0	3.8949096978668067	0.022523145700422964	0.21167733728995808	0.2639882920896596	0.05131977511235226		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	A4B2	151	2.0	144.0	4.302731407813959	0.015312766038524418	0.14880485488038875	-0.7370137707994056	0.0563902671428264	CTRL > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	M1	151	2.0	144.0	2.98683357476052	0.05358196573824338	0.4372855533901885	-0.5897649589081142	0.039831440165861924		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	VAChT	151	2.0	144.0	4.0406528032114455	0.019617312404511745	0.18686295504837847	-0.669810527908874	0.05313806042234288	CTRL > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	FDOPA	151	2.0	144.0	7.2449106458693775	0.0010046166687368808	0.010439376135084943	-0.7872277091918627	0.09142430203808952	CTRL > PSY_APD, CTRL > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	D1	151	2.0	144.0	4.414311870402677	0.013783543220765837	0.13490147840461575	-0.6797270243623804	0.057768129586631245	CTRL > PSY_APD, CTRL > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	D23	151	2.0	144.0	8.633008883500803	0.00028774870718699386	0.003000242034109979	-0.7555654219494714	0.10706544383050173	CTRL > PSY_APD, CTRL > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	DAT	151	2.0	144.0	7.771864715980545	0.0006233876155047348	0.0064895307155315995	-0.9686020366658048	0.09742613819611042	CTRL > PSY_APD, CTRL > PSY_noAPD, PSY_APD > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	5HT1a	151	2.0	144.0	8.032219028157451	0.0004930261142947724	0.005135611422546704	-0.6733247893745067	0.10036231814753886	CTRL > PSY_APD, CTRL > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	5HT1b	151	2.0	144.0	4.525673722613062	0.01241149498779924	0.1222526794158233	-0.516101745308017	0.05913928623506833	CTRL > PSY_APD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	5HT2a	151	2.0	144.0	6.3877138296328795	0.0021982842733669606	0.02271509306506092	-0.8187132046602904	0.08148871191110224		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	5HT4	151	2.0	144.0	12.065978043309958	1.4298164893890923e-05	0.00014927384473939487	-0.9331719391724561	0.14352985980956157	CTRL > PSY_APD, CTRL > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	5HT6	151	2.0	144.0	11.407442773234559	2.5188000835845265e-05	0.0002629509791702844	-0.9023438631329908	0.13676768396135516		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	5HTT	151	2.0	144.0	2.970993502127636	0.05440321751897793	0.4423628892969349	-0.5215402883004493	0.03962857317668227		sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	MOR	151	2.0	144.0	5.95673297816698	0.003269477535610601	0.033613869758252535	-0.8163330362146789	0.07641075697509359	CTRL > PSY_APD, CTRL > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	KOR	151	2.0	144.0	3.558272549580257	0.03101946340256582	0.28035459414026054	-0.6323430100420405	0.04709309026679203	CTRL > PSY_noAPD	sex, age, mean_fd, gc
Schaefer200	original	all	dx_apd_lifetime	CB1	151	2.0	144.0	2.6656769576239387	0.07298392907799874	0.5467210755223765	-0.5807517801298699	0.03570150390703386		sex, age, mean_fd, gc
Schaefer200	inverted	all	dx	CMRglu	151	1.0	143.0	5.743710732884536	0.017840253675083247	0.13447078764361453	-0.4643433073024014	0.03861481406228429	CTRL > PSY	sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	SV2A	151	1.0	143.0	1.895618383227919	0.17072126757732614	0.777268784193307	-0.26565641821501573	0.013082648077143943		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	HDAC	151	1.0	143.0	7.889453931137703	0.005668356007557575	0.04457912698814204	-0.5317076876702563	0.05228631773522263	CTRL > PSY	sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	VMAT2	151	1.0	143.0	3.302037278647605	0.07128774292607701	0.44750397577904	-0.34245441997908455	0.02257000203188236		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	mGluR5	151	1.0	143.0	2.742983754774934	0.09987492738897916	0.570069637114778	-0.320720116649788	0.018820691631991283		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	NMDA	151	1.0	143.0	4.322484475656035	0.039398146902076596	0.2756376007706731	-0.3893281503696186	0.02934029039111334	CTRL > PSY	sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	GABAa	151	1.0	143.0	0.45836137321342574	0.49948453230952294	0.9961220742478555	-0.12313243174277183	0.0031950830110276936		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	GABAa5	151	1.0	143.0	0.9432293037184042	0.33308860618912417	0.9612207111462165	-0.18421222170088392	0.0065527868749436086		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	NET	151	1.0	143.0	0.9566088568627975	0.3296944921448445	0.9596088250920012	-0.17914993356837522	0.006645119417990467		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	A4B2	151	1.0	143.0	1.895176366552643	0.17077081299953295	0.7773755171770917	-0.27025441124624716	0.013079637390814636		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	M1	151	1.0	143.0	3.3914667458317034	0.06760646574883605	0.42968828642640344	-0.3522354723771666	0.02316710680766692		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	VAChT	151	1.0	143.0	1.3222346575531223	0.25211081641130473	0.9027546532242698	-0.21943442763976845	0.009161683649719756		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	FDOPA	151	1.0	143.0	4.1447567049772855	0.043609968337148954	0.3007281115763365	-0.3767994808264173	0.028167885813882257	CTRL > PSY	sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	D1	151	1.0	143.0	2.2311780942907777	0.1374539161949808	0.694635613591671	-0.2847430534071962	0.015362941508621476		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	D23	151	1.0	143.0	0.6384669202442077	0.4255916556977003	0.9882951334247554	-0.15302488752397864	0.0044449577744290385		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	DAT	151	1.0	143.0	12.516811275132156	0.0005442992735957058	0.00435826393551475	-0.6734401491795536	0.080485261834414	CTRL > PSY	sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	5HT1a	151	1.0	143.0	0.3689501239521197	0.54454042562746	0.9981805528082233	-0.11493344389769354	0.0025734311622784252		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	5HT1b	151	1.0	143.0	2.65095317767118	0.10568905352137743	0.5918493356749596	-0.3127439547633614	0.01820072659900437		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	5HT2a	151	1.0	143.0	0.8160531013511696	0.3678559028983581	0.9747615887198542	-0.17183659572612098	0.005674283807358239		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	5HT4	151	1.0	143.0	0.11499550661488447	0.735024431262491	0.9999764108601614	-0.06489287886775989	0.0008035182211885636		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	5HT6	151	1.0	143.0	1.380714581369472	0.24193231011960886	0.8916157053911172	-0.22248998080052518	0.009563012521255632		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	5HTT	151	1.0	143.0	2.3985450198043536	0.12365846325844794	0.6531819991592169	-0.30192105785208356	0.016496348154499445		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	inverted	all	dx	MOR	151	1.0	143.0	0.7763248790741182	0.37974597535877463	0.97832769426109	-0.16924003772387672	0.005399532083790995		sex, age, mean_fd, gc, apd_chlor_equiv
